event_id,event_time,asset,event_type,source,title,ret_1h,ret_4h,ret_24h,ab_vs_btc_4h,ab_vs_btc_24h,useful_label,reaction_label,beta_adjusted_label,likely_lagging_signal,sample_quality
cand_00053,2026-05-19 09:11:27,BTC,halving,news:coinpedia,Bitcoin Whales Defy $77K Drop as Large Wallets Surge 11%,0.0056,0.0029,0.0034,0.0000,0.0000,noise,no_reaction,beta_like,true,good
cand_00016,2026-05-19 10:12:50,ETH,staking_governance,webhook,"5/18 Ethereum ETF Net Flow: $-84.14m
$ETHA (BlackRock): –$55.40m
$FETH (Fidelity): –$14.70m
$ETHW (B",0.0015,0.0055,0.0058,0.0014,0.0069,neutral,weak_reaction,beta_like,false,good
cand_00011,2026-05-19 10:23:18,ETH,hack_security,webhook,黑客攻击Monad Echo协议，损失约7600万美元,0.0038,0.0006,0.0092,0.0003,0.0078,neutral,no_reaction,beta_like,true,good
cand_00016,2026-05-19 10:12:50,ETH,staking_governance,webhook,"5/18 Ethereum ETF Net Flow: $-84.14m
$ETHA (BlackRock): –$55.40m
$FETH (Fidelity): –$14.70m
$ETHW (B",0.0015,0.0055,0.0058,0.0014,0.0069,neutral,weak_reaction,beta_like,false,good
cand_00020,2026-05-19 10:00:40,BNB,hack_security,news:bitcoinist,The XRP Asian Breakout: Japan And South Korea Lead The Charge | Bitcoinist.com,0.0023,0.0012,0.0043,0.0016,0.0058,noise,no_reaction,beta_like,true,good
cand_00038,2026-05-19 09:30:00,BTC,hack_security,news:odaily_exchange_gap,星球早讯,0.0012,0.0017,0.0010,0.0000,0.0000,noise,no_reaction,beta_like,false,good
cand_00047,2026-05-19 09:19:01,ETH,hack_security,webhook,Lookonchain：过去4天内发生3起重大黑客攻击事件,0.0002,0.0016,0.0074,0.0011,0.0063,neutral,no_reaction,beta_like,false,good
cand_00053,2026-05-19 09:11:27,BTC,halving,news:coinpedia,Bitcoin Whales Defy $77K Drop as Large Wallets Surge 11%,0.0056,0.0029,0.0034,0.0000,0.0000,noise,no_reaction,beta_like,true,good
cand_00064,2026-05-19 09:00:20,HYPE,institutional_flow,webhook,"🔥 BULLISH: Bitwise announces it will hold $HYPE on its balance sheet, allocating 10% of its Hyperliq",0.0169,0.0089,0.0116,0.0067,0.0076,neutral,weak_reaction,beta_like,true,good
cand_00065,2026-05-19 09:00:03,BTC,token_unlock,news:odaily_exchange_gap,黄金白银小幅反弹，加密波动率下降，BVIX日内跌幅0.54%,0.0052,0.0022,0.0041,0.0000,0.0000,noise,no_reaction,beta_like,true,good
cand_00074,2026-05-19 08:40:15,BTC,institutional_flow,webhook,Santiment：持有至少100 BTC的钱包数量增至20229,0.0049,0.0035,0.0057,0.0000,0.0000,neutral,no_reaction,beta_like,true,good
cand_00084,2026-05-19 08:28:26,BTC,hack_security,tg:OneMillion_AI,多语种SWE-Bench压制GPT-5.5！Cursor发布最强模型Composer2.5，确认调用Colossus2百万卡集群,0.0058,0.0062,0.0067,0.0000,0.0000,neutral,weak_reaction,beta_like,false,good
cand_00094,2026-05-19 08:17:14,ETH,hack_security,webhook,链上监测：过去4天内发生三起重大黑客事件,0.0011,0.0003,0.0137,0.0042,0.0060,neutral,no_reaction,beta_like,true,good
cand_00105,2026-05-19 08:04:35,ETH,hack_security,webhook,链上监测：黑客在Monad平台上铸造1000枚EBTC并洗钱,0.0025,0.0022,0.0083,0.0047,0.0056,neutral,no_reaction,beta_like,true,good
cand_00117,2026-05-19 07:50:00,ETH,hack_security,webhook,"Exploit Alert 🚨

According to @dcfgod, @EchoProtocol_ on @monad has been exploited.

The attacker re",0.0056,0.0022,0.0073,0.0041,0.0058,neutral,no_reaction,beta_like,true,good
cand_00124,2026-05-19 07:36:51,ETH,hack_security,webhook,"#PeckShieldAlert @dcfgod reports that @EchoProtocol_ was hacked on @monad 

The hacker minted 1k $eB",0.0033,0.0007,0.0071,0.0026,0.0059,neutral,no_reaction,beta_like,true,good
cand_00146,2026-05-19 06:58:05,BTC,institutional_flow,webhook,Delphi Digital：比特币在流动性趋紧背景下表现可能优于多数加密资产,0.0010,0.0060,0.0047,0.0000,0.0000,noise,weak_reaction,beta_like,false,good
cand_00160,2026-05-19 06:42:26,ETH,staking_governance,webhook,以太坊质押比例上升至31%，长期持有者信心依旧,0.0004,0.0040,0.0126,0.0002,0.0090,neutral,no_reaction,beta_like,false,good
cand_00164,2026-05-19 06:31:27,BNB,hack_security,news:bitcoinist,HYPE Jumps On Bitwise’s Hyperliquid ETF Move—Galaxy Secures BitLicense In NY | Bitcoinist.com,0.0031,0.0032,0.0112,0.0008,0.0061,neutral,no_reaction,beta_like,false,good
cand_00178,2026-05-19 06:18:56,BTC,token_unlock,webhook,美国司法部：俄亥俄州居民因加密庞氏骗局被判9年监禁,0.0017,0.0053,0.0055,0.0000,0.0000,neutral,weak_reaction,beta_like,false,good
cand_00187,2026-05-19 06:13:29,BTC,halving,webhook,"JUST IN: There’s now less than 100,000 blocks until the next Bitcoin halving 👀 https://t.co/pDPSl8nL",0.0008,0.0055,0.0046,0.0000,0.0000,noise,weak_reaction,beta_like,false,good
cand_00193,2026-05-19 06:07:31,BTC,halving,webhook,"JUST IN: 100,000 blocks remain until the next Bitcoin Halving. https://t.co/y8wcvN854g",0.0005,0.0065,0.0042,0.0000,0.0000,noise,weak_reaction,beta_like,false,good
cand_00213,2026-05-19 05:45:00,BTC,network_upgrade,news:cryptonews,Shiba Inu sees 3b SHIB hit exchanges,0.0000,0.0026,0.0002,0.0000,0.0000,noise,no_reaction,beta_like,false,good
cand_00258,2026-05-19 04:55:00,BTC,network_upgrade,news:cryptonews,Citi warns Bitcoin faces quantum risk,0.0004,0.0022,0.0001,0.0000,0.0000,noise,no_reaction,beta_like,false,good
cand_00275,2026-05-19 04:30:00,XRP,token_unlock,news:cryptonews,XRP price slips 2% on profit taking,0.0009,0.0027,0.0244,0.0019,0.0219,useful,no_reaction,independent_move,false,good
cand_00291,2026-05-19 04:10:27,BTC,network_upgrade,webhook,"In 2019 I sincerely questioned myself whether I wanted to continue trading crypto.

Almost all marke",0.0020,0.0010,0.0012,0.0000,0.0000,noise,no_reaction,beta_like,true,good
cand_00297,2026-05-19 04:00:52,BNB,hack_security,news:bitcoinist,Patrick Witt Teases ‘Breakthrough’ On US Bitcoin Reserve,0.0053,0.0028,0.0082,0.0027,0.0062,neutral,no_reaction,beta_like,true,good
cand_00324,2026-05-19 03:37:15,BTC,institutional_flow,news:cryptonews,Leopold Aschenbrenner bets $13.6b on miners,0.0046,0.0039,0.0017,0.0000,0.0000,noise,no_reaction,beta_like,true,good
cand_00365,2026-05-19 02:45:00,HYPE,institutional_flow,webhook,Bitwise将用10%管理费购买$HYPE,0.0103,0.0433,0.0690,0.0339,0.0621,useful,vol_reaction,independent_move,false,good
cand_00371,2026-05-19 02:30:45,BNB,hack_security,news:bitcoinist,"Analyst Predicts Bitcoin And Ethereum Price For The Rest Of 2026, What To Expect | Bitcoinist.com",0.0070,0.0117,0.0021,0.0014,0.0035,noise,weak_reaction,beta_like,false,good
cand_00375,2026-05-19 02:30:00,ETH,hack_security,news:cryptonews,Standard Chartered: $4T tokenized by 2028,0.0079,0.0243,0.0105,0.0140,0.0053,neutral,vol_reaction,beta_like,false,good
cand_00403,2026-05-19 01:59:40,BTC,hack_security,news:cryptonews,Lotment Capital announces a new standard in client success,0.0052,0.0053,0.0020,0.0000,0.0000,noise,weak_reaction,beta_like,false,good
cand_00419,2026-05-19 01:41:53,BTC,hack_security,news:bitcoinmagazine,White House: Bitcoin Reserve Announcement Is Imminent,0.0040,0.0056,0.0043,0.0000,0.0000,noise,weak_reaction,beta_like,false,good
cand_00449,2026-05-19 01:19:22,ETH,network_upgrade,webhook,Ethereum Foundation 研究员 Carl Beek 与 Julian Ma 于周一宣布离职。其中，Carl Beek 在以太坊工作约 7 年，曾参与 Beacon Chain 及以太坊,0.0056,0.0094,0.0090,0.0048,0.0040,neutral,weak_reaction,beta_like,false,good
cand_00472,2026-05-19 01:00:26,BNB,hack_security,news:bitcoinist,XRP’s Recent Strategic Setup Could Mark The End For Bears - Crypto Analyst Says | Bitcoinist.com,0.0007,0.0043,0.0023,0.0009,0.0034,noise,no_reaction,beta_like,false,good
cand_00482,2026-05-19 00:53:58,HYPE,institutional_flow,webhook,Bitwise to add HYPE to balance sheet using fees from Hyperliquid ETF,0.0090,0.0196,0.0681,0.0122,0.0622,useful,weak_reaction,independent_move,false,good
cand_00484,2026-05-19 00:50:18,ETH,hack_security,webhook,Adshares桥攻击者归还256枚ETH，覆盖86%被盗资金,0.0046,0.0075,0.0091,0.0013,0.0037,neutral,weak_reaction,beta_like,false,good
